tt0003037,tt0002844,0.0111111
tt0003165,tt0003037,0.0111111
tt0003165,tt0002844,0.0111111
tt0003643,tt0003167,0.0125
tt0003930,tt0003165,0.0111111
tt0003930,tt0003037,0.0111111
tt0003930,tt0002844,0.0111111
tt0004181,tt0003643,0.02
tt0004181,tt0003167,0.0166667
tt0004681,tt0003167,0.025
tt0004681,tt0003772,0.02
tt0004838,tt0003657,0.02
tt0004872,tt0004825,0.0166667
tt0005060,tt0004766,0.02
tt0005078,tt0005060,0.0166667
tt0005078,tt0004766,0.02
tt0005402,tt0005078,0.0166667
tt0005402,tt0005060,0.0166667
tt0005402,tt0004766,0.02
tt0005557,tt0004838,0.0166667
tt0005557,tt0003657,0.02
tt0006206,tt0003930,0.02
tt0006206,tt0003037,0.02
tt0006206,tt0003165,0.02
tt0006206,tt0002844,0.02
tt0006688,tt0005719,0.02
tt0006736,tt0006688,0.02
tt0006753,tt0006688,0.02
tt0006753,tt0006736,0.0125
tt0006753,tt0004766,0.025
tt0006809,tt0006753,0.02
tt0006809,tt0006688,0.02
tt0006809,tt0006736,0.02
tt0006864,tt0004181,0.0166667
tt0006864,tt0003643,0.02
tt0006864,tt0003167,0.0166667
tt0006886,tt0006206,0.0166667
tt0006886,tt0003165,0.02
tt0006886,tt0002844,0.02
tt0006886,tt0003930,0.02
tt0006886,tt0003037,0.02
tt0007047,tt0006753,0.02
tt0007047,tt0006688,0.02
tt0007047,tt0006736,0.02
tt0007047,tt0006809,0.0166667
tt0007257,tt0006753,0.02
tt0007257,tt0006688,0.0111111
tt0007257,tt0005719,0.02
tt0007257,tt0006736,0.02
tt0007257,tt0007047,0.02
tt0007257,tt0006809,0.02
tt0007260,tt0003657,0.02
tt0007309,tt0002423,0.02
tt0007340,tt0004134,0.0166667
tt0007340,tt0002101,0.025
tt0007367,tt0006809,0.0166667
tt0008150,tt0005402,0.02
tt0008150,tt0005078,0.02
tt0008150,tt0005060,0.0125
tt0008150,tt0004766,0.02
tt0008196,tt0003772,0.02
tt0008196,tt0004681,0.0166667
tt0008309,tt0007257,0.0166667
tt0008309,tt0006753,0.0125
tt0008309,tt0006688,0.0166667
tt0008309,tt0006736,0.0111111
tt0008309,tt0007047,0.02
tt0008309,tt0006809,0.02
tt0008443,tt0008196,0.02
tt0008443,tt0004872,0.0166667
tt0008443,tt0004825,0.0166667
tt0008443,tt0003772,0.0166667
tt0008443,tt0004681,0.02
tt0008499,tt0008196,0.0125
tt0008499,tt0006826,0.025
tt0008499,tt0003772,0.0166667
tt0008499,tt0008443,0.0166667
tt0008499,tt0004681,0.02
